150000	2000000,0	farmer	0,100,1	99041,19029,999982	235,811,176,218	2,99,60,99,90,49	9,0	0,0,0	101,0,0	6,1,0	11,0,1217,5055,768	007-1,85,78	042-2,26,26,0		0,1201,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,904,100,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,1202,1,0,1,0,0,0,0,0,0,0 0,881,1,0,1,0,0,0,0,0,0,0 0,1217,1,256,1,0,0,0,0,0,0,0 0,4012,1,128,1,0,0,0,0,0,0,0 0,5055,1,512,1,0,0,0,0,0,0,0 0,768,1,1,1,0,0,0,0,0,0,0 0,735,1,0,1,0,0,0,0,0,0,0 0,1199,4197,32768,1,0,0,0,0,0,0,0 0,567,100,0,1,0,0,0,0,0,0,0 0,568,100,0,1,0,0,0,0,0,0,0 0,562,50,0,1,0,0,0,0,0,0,0 0,541,132,0,1,0,0,0,0,0,0,0 0,879,1,8,1,0,0,0,0,0,0,0 0,878,1,34,1,0,0,0,0,0,0,0 0,533,3,0,1,0,0,0,0,0,0,0 0,4001,3,0,1,0,0,0,0,0,0,0 0,862,98,0,1,0,0,0,0,0,0,0 0,505,7,0,1,0,0,0,0,0,0,0 0,521,1,0,1,0,0,0,0,0,0,0 0,540,18,0,1,0,0,0,0,0,0,0 0,4002,1,0,1,0,0,0,0,0,0,0 0,526,1,0,1,0,0,0,0,0,0,0 0,537,3,0,1,0,0,0,0,0,0,0 0,518,2,0,1,0,0,0,0,0,0,0 0,611,3,0,1,0,0,0,0,0,0,0 0,501,2,0,1,0,0,0,0,0,0,0 0,521,1,0,1,0,0,0,0,0,0,0 0,521,1,0,1,0,0,0,0,0,0,0 0,528,1,0,1,0,0,0,0,0,0,0 0,535,4,0,1,0,0,0,0,0,0,0 0,528,1,0,1,0,0,0,0,0,0,0 0,525,1,0,1,0,0,0,0,0,0,0 0,4003,1,0,1,0,0,0,0,0,0,0 0,1251,5,0,1,0,0,0,0,0,0,0 0,718,2,0,1,0,0,0,0,0,0,0 0,681,1,0,1,0,0,0,0,0,0,0 0,680,3,0,1,0,0,0,0,0,0,0 0,824,37,0,1,0,0,0,0,0,0,0 0,822,111,0,1,0,0,0,0,0,0,0 0,4024,37,0,1,0,0,0,0,0,0,0 0,704,181,0,1,0,0,0,0,0,0,0 0,1248,1,0,1,0,0,0,0,0,0,0 0,683,4,0,1,0,0,0,0,0,0,0 0,1252,3,0,1,0,0,0,0,0,0,0 0,682,1,0,1,0,0,0,0,0,0,0 0,565,3,0,1,0,0,0,0,0,0,0 0,743,1,0,1,0,0,0,0,0,0,0 0,1202,1,0,1,0,0,0,0,0,0,0 0,1201,1,0,1,0,0,0,0,0,0,0 		3,2 339,1 340,2 341,2 342,2 343,2 344,2 345,2 346,2 352,262153 	TUT_var,1404076785 FLAGS,256 QUEST_MAGIC,61440 TravelFound,516 MAGIC_EXPERIENCE,8000 QUEST_NorthTulimshar,327680 	
150001	2000000,1	mage	0,109,3	906582,737,43	1011,1064,236,236	1,85,80,99,1,70	3,2	0,0,0	103,0,0	1,1,0	1,601,636,658,768	034-1,70,100	031-3,227,239,0		0,1201,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,904,100,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,1202,1,0,1,0,0,0,0,0,0,0 0,881,1,0,1,0,0,0,0,0,0,0 0,1171,1,0,1,0,0,0,0,0,0,0 0,880,1,0,1,0,0,0,0,0,0,0 0,4011,1,0,1,0,0,0,0,0,0,0 0,2202,1,0,1,0,0,0,0,0,0,0 0,879,1,0,1,0,0,0,0,0,0,0 0,758,1,0,1,0,0,0,0,0,0,0 0,579,1,2,1,0,0,0,0,0,0,0 0,735,1,0,1,0,0,0,0,0,0,0 0,743,2,0,1,0,0,0,0,0,0,0 0,718,470,0,1,0,0,0,0,0,0,0 0,613,84,0,1,0,0,0,0,0,0,0 0,611,8,0,1,0,0,0,0,0,0,0 0,585,1,0,1,0,0,0,0,0,0,0 0,601,1,32,1,0,0,0,0,0,0,0 0,658,1,512,1,0,0,0,0,0,0,0 0,518,23,0,1,0,0,0,0,0,0,0 0,4001,8,0,1,0,0,0,0,0,0,0 0,4021,8,0,1,0,0,0,0,0,0,0 0,4025,3,0,1,0,0,0,0,0,0,0 0,4023,9,0,1,0,0,0,0,0,0,0 0,501,5,0,1,0,0,0,0,0,0,0 0,521,1,0,1,0,0,0,0,0,0,0 0,704,192,0,1,0,0,0,0,0,0,0 0,535,1,0,1,0,0,0,0,0,0,0 0,521,1,0,1,0,0,0,0,0,0,0 0,545,1,0,1,0,0,0,0,0,0,0 0,1199,860,0,1,0,0,0,0,0,0,0 0,740,365,0,1,0,0,0,0,0,0,0 0,714,100,0,1,0,0,0,0,0,0,0 0,505,286,0,1,0,0,0,0,0,0,0 0,4026,15,0,1,0,0,0,0,0,0,0 0,4024,3,0,1,0,0,0,0,0,0,0 0,5061,1,0,1,0,0,0,0,0,0,0 0,502,2,0,1,0,0,0,0,0,0,0 0,614,94,0,1,0,0,0,0,0,0,0 0,660,100,0,1,0,0,0,0,0,0,0 0,636,1,256,1,0,0,0,0,0,0,0 0,539,12,0,1,0,0,0,0,0,0,0 0,701,3,0,1,0,0,0,0,0,0,0 0,657,7,0,1,0,0,0,0,0,0,0 0,768,1,1,1,0,0,0,0,0,0,0 0,865,1,0,1,0,0,0,0,0,0,0 0,861,1,0,1,0,0,0,0,0,0,0 0,562,96,0,1,0,0,0,0,0,0,0 0,703,93,0,1,0,0,0,0,0,0,0 0,876,1,64,1,0,0,0,0,0,0,0 0,532,1,4,1,0,0,0,0,0,0,0 0,791,1,0,1,0,0,0,0,0,0,0 		1,1 2,1 3,2 45,9 339,1 340,2 341,2 342,2 343,2 344,2 345,2 346,2 350,9 352,9 353,9 354,262153 355,1 	TUT_var,1404254543 FLAGS,256 TUTORIAL,67108864 MAGIC_EXPERIENCE,1253338 QUEST_MAGIC,61440 PC_DIE_COUNTER,7 TravelFound,17924 QUEST_Barbarians,8 BOSS_POINTS,40 	
150002	2000001,0	user1c1	0,91,1	6,1,50	492,494,102,102	1,1,1,1,1,1	1376,0	0,0,0	0,0,0	4,4,0	0,0,0,0,0	042-1,113,84	042-2,26,26,0		0,1201,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,904,100,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,1202,1,0,1,0,0,0,0,0,0,0 0,881,1,0,1,0,0,0,0,0,0,0 0,505,1,0,1,0,0,0,0,0,0,0 			TUT_var,1408031673 FLAGS,256 TUTORIAL,1073741824 	
150003	2000002,0	user2c1	0,255,1	0,0,25	1323,1323,267,267	1,1,1,1,1,1	9002,0	0,0,0	0,0,0	19,7,0	0,0,0,0,0	007-1,87,76	042-2,26,26,0		0,1201,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,904,100,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,881,1,0,1,0,0,0,0,0,0,0 0,1202,1,0,1,0,0,0,0,0,0,0 		1,1 2,1 3,2 	TUT_var,1408031727 FLAGS,256 	
150004	2000003,0	user3c1	0,91,1	0,0,50	494,494,102,102	1,1,1,1,1,1	1376,0	0,0,0	0,0,0	7,6,0	0,0,0,0,0	009-2,20,102	042-2,26,26,0		0,1201,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,904,44,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,1202,1,0,1,0,0,0,0,0,0,0 0,621,1,0,1,0,0,0,0,0,0,0 			TUT_var,1408031775 FLAGS,256 	
150006	2000001,2	user1c3	0,1,1	0,0,50	40,40,11,11	9,9,1,1,9,1	0,0	0,0,0	0,0,0	7,8,0	0,0,0,0,0	042-2,26,26	042-2,26,26,0		0,1201,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,904,100,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,1218,1,0,1,0,0,0,0,0,0,0 0,881,1,0,1,0,0,0,0,0,0,0 			TUT_var,1410491339 FLAGS,256 	
150007	2000001,1	user1c2	0,1,1	0,0,50	40,40,11,11	9,9,1,1,9,1	0,0	0,0,0	0,0,0	1,0,0	0,0,0,0,0	042-2,26,26	042-2,26,26,0		0,1201,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,904,100,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,1202,1,0,1,0,0,0,0,0,0,0 0,881,1,0,1,0,0,0,0,0,0,0 		1,1 2,1 3,2 	TUT_var,1410491590 FLAGS,256 	
150008	2000003,1	user3c2	0,11,1	0,0,44	90,90,21,21	1,1,1,1,1,1	96,0	0,0,0	103,0,0	9,2,0	0,0,0,0,0	007-1,86,78	042-2,26,26,0		0,904,90,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,881,1,0,1,0,0,0,0,0,0,0 		1,1 2,1 3,2 	TUT_var,1411301430 FLAGS,256 QUEST_NorthTulimshar,65536 QUEST_MAGIC,61440 	
150009	2000000,2	mmadmin	0,99,1	0,0,999966	535,535,110,110	9,9,1,1,9,1	1544,0	0,0,0	0,0,0	12,3,0	0,0,0,0,0	007-1,85,77	042-2,26,26,0		0,1201,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,904,100,0,1,0,0,0,0,0,0,0 0,808,1,0,1,0,0,0,0,0,0,0 0,1202,1,0,1,0,0,0,0,0,0,0 0,881,1,0,1,0,0,0,0,0,0,0 0,903,1,0,1,0,0,0,0,0,0,0 0,862,1,0,1,0,0,0,0,0,0,0 		2,1 3,2 	TUT_var,1411769114 FLAGS,256 QUEST_NorthTulimshar,65536 	
150010	%newid%
